"GEO_ID","NAME","YEAR","zip_code","vets_popcount","nonvets_pop_count","total_labor_force_percent","vets_labor_force_percent","nonvets_labor_force_percent","total_labor_force_count","vets_labor_force_count","nonvets_labor_force_count","total_unemp_rate_percent","vets_unemp_rate_percent","nonvets_unemp_rate_percent","total_pov_count","total_pov_percent","vets_pov_count","vets_pov_percent","nonvets_pov_count","nonvets_pov_percent","total_dis_count","total_dis_percent","vet_dis_count","vet_dis_percent","nonvet_dis_count","nonvet_dis_percent","drop_zip"
"860Z200US12574","ZCTA5 12574","2024","12574",0,0,86.5,0,86.5,333,0,333,0,0,0,29,4.8,0,0,29,4.8,28,4.7,0,0,28,4.7,TRUE
"860Z200US12722","ZCTA5 12722","2024","12722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US12784","ZCTA5 12784","2024","12784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US12820","ZCTA5 12820","2024","12820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US12854","ZCTA5 12854","2024","12854",0,0,100,0,100,42,0,42,0,0,0,0,0,0,0,0,0,12,28.6,0,0,12,28.6,TRUE
"860Z200US12864","ZCTA5 12864","2024","12864",0,0,100,0,100,8,0,8,62.5,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US12872","ZCTA5 12872","2024","12872",0,0,0,0,0,0,0,0,0,0,0,11,50,0,0,11,50,22,100,0,0,22,100,TRUE
"860Z200US12933","ZCTA5 12933","2024","12933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US12961","ZCTA5 12961","2024","12961",0,0,50,0,50,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US13051","ZCTA5 13051","2024","13051",0,0,100,0,100,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US13119","ZCTA5 13119","2024","13119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US13121","ZCTA5 13121","2024","13121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US13123","ZCTA5 13123","2024","13123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43.3,0,0,39,43.3,TRUE
"860Z200US13244","ZCTA5 13244","2024","13244",0,0,29.6,0,29.6,2810,0,2810,16.4,0,16.4,7,29.2,0,0,7,29.2,0,0,0,0,0,0,TRUE
"860Z200US13290","ZCTA5 13290","2024","13290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US13352","ZCTA5 13352","2024","13352",0,0,50,0,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US13455","ZCTA5 13455","2024","13455",0,0,100,0,100,51,0,51,0,0,0,0,0,0,0,0,0,3,5.9,0,0,3,5.9,TRUE
"860Z200US13475","ZCTA5 13475","2024","13475",0,0,81.3,0,81.3,13,0,13,0,0,0,0,0,0,0,0,0,4,9.5,0,0,4,9.5,TRUE
"860Z200US13482","ZCTA5 13482","2024","13482",0,0,66.2,0,66.2,45,0,45,0,0,0,0,0,0,0,0,0,3,3.2,0,0,3,3.2,TRUE
